Date,Sum of CPI,forecastValue,confidenceHighBound,confidenceLowBound
2010-02-05 00:00:00,7547.8898223,,,
2010-02-12 00:00:00,7552.1523543,,,
2010-02-19 00:00:00,7554.2258747,,,
2010-02-26 00:00:00,7555.9345592,,,
2010-03-05 00:00:00,7557.6432448,,,
2010-03-12 00:00:00,7559.3519303,,,
2010-03-19 00:00:00,7556.8692046,,,
2010-03-26 00:00:00,7553.6879087,,,
2010-04-02 00:00:00,7550.5066142,,,
2010-04-09 00:00:00,7547.3253191,,,
2010-04-16 00:00:00,7544.8368342,,,
2010-04-23 00:00:00,7543.2720956,,,
2010-04-30 00:00:00,7541.7073572,,,
2010-05-07 00:00:00,7540.1426191,,,
2010-05-14 00:00:00,7539.5918108,,,
2010-05-21 00:00:00,7545.1245831,,,
2010-05-28 00:00:00,7550.6573553,,,
2010-06-04 00:00:00,7556.1901282,,,
2010-06-11 00:00:00,7561.7229005,,,
2010-06-18 00:00:00,7562.2223395,,,
2010-06-25 00:00:00,7560.708444,,,
2010-07-02 00:00:00,7559.194549,,,
2010-07-09 00:00:00,7557.6806535,,,
2010-07-16 00:00:00,7558.1201194,,,
2010-07-23 00:00:00,7561.1640652,,,
2010-07-30 00:00:00,7564.2080124,,,
2010-08-06 00:00:00,7567.2519591,,,
2010-08-13 00:00:00,7570.295906,,,
2010-08-20 00:00:00,7570.2958399,,,
2010-08-27 00:00:00,7570.2957729,,,
2010-09-03 00:00:00,7570.2957067,,,
2010-09-10 00:00:00,7570.2956394,,,
2010-09-17 00:00:00,7571.554763,,,
2010-09-24 00:00:00,7573.7582753,,,
2010-10-01 00:00:00,7575.9617899,,,
2010-10-08 00:00:00,7578.1653047,,,
2010-10-15 00:00:00,7580.3859164,,,
2010-10-22 00:00:00,7582.6492788,,,
2010-10-29 00:00:00,7584.9126401,,,
2010-11-05 00:00:00,7587.1760003,,,
2010-11-12 00:00:00,7589.4393622,,,
2010-11-19 00:00:00,7587.2749049,,,
2010-11-26 00:00:00,7584.372478,,,
2010-12-03 00:00:00,7581.4700508,,,
2010-12-10 00:00:00,7578.5676232,,,
2010-12-17 00:00:00,7578.6966936,,,
2010-12-24 00:00:00,7581.0993851,,,
2010-12-31 00:00:00,7583.5020786,,,
2011-01-07 00:00:00,7585.904771,,,
2011-01-14 00:00:00,7589.3279636,,,
2011-01-21 00:00:00,7598.8741546,,,
2011-01-28 00:00:00,7608.4203455,,,
2011-02-04 00:00:00,7617.9665364,,,
2011-02-11 00:00:00,7627.5127278,,,
